Type;Sort;Size;Time(ns)
basic mass;bubble sort;50;10600
basic mass;bubble(Ayverson1) sort;50;11810
basic mass;bubble(Ayverson2) sort;50;8020
basic mass;selection sort;50;6750
basic mass;insertion sort;50;6540
basic mass;binary insertion sort;50;4330
basic mass;counting sort;50;1310
basic mass;radix sort;50;2060
basic mass;quick sort;50;3340
basic mass;merge sort;50;31020
basic mass;heap sort;50;3950
basic mass;shell(Ciur) sort;50;1780
basic mass;shell sort;50;2250
basic mass;bubble sort;100;58370
basic mass;bubble(Ayverson1) sort;100;81210
basic mass;bubble(Ayverson2) sort;100;30480
basic mass;selection sort;100;19060
basic mass;insertion sort;100;10770
basic mass;binary insertion sort;100;9660
basic mass;counting sort;100;920
basic mass;radix sort;100;1950
basic mass;quick sort;100;4060
basic mass;merge sort;100;50720
basic mass;heap sort;100;9830
basic mass;shell(Ciur) sort;100;4900
basic mass;shell sort;100;5460
basic mass;bubble sort;150;118390
basic mass;bubble(Ayverson1) sort;150;183420
basic mass;bubble(Ayverson2) sort;150;69120
basic mass;selection sort;150;45010
basic mass;insertion sort;150;20290
basic mass;binary insertion sort;150;21570
basic mass;counting sort;150;1360
basic mass;radix sort;150;2570
basic mass;quick sort;150;9700
basic mass;merge sort;150;105800
basic mass;heap sort;150;16270
basic mass;shell(Ciur) sort;150;7250
basic mass;shell sort;150;9190
basic mass;bubble sort;200;113660
basic mass;bubble(Ayverson1) sort;200;246590
basic mass;bubble(Ayverson2) sort;200;161210
basic mass;selection sort;200;67410
basic mass;insertion sort;200;31500
basic mass;binary insertion sort;200;29130
basic mass;counting sort;200;2380
basic mass;radix sort;200;3370
basic mass;quick sort;200;12270
basic mass;merge sort;200;108510
basic mass;heap sort;200;23270
basic mass;shell(Ciur) sort;200;7990
basic mass;shell sort;200;12900
basic mass;bubble sort;250;357010
basic mass;bubble(Ayverson1) sort;250;436560
basic mass;bubble(Ayverson2) sort;250;239650
basic mass;selection sort;250;169450
basic mass;insertion sort;250;86850
basic mass;binary insertion sort;250;73850
basic mass;counting sort;250;4260
basic mass;radix sort;250;7070
basic mass;quick sort;250;16850
basic mass;merge sort;250;162230
basic mass;heap sort;250;30040
basic mass;shell(Ciur) sort;250;42980
basic mass;shell sort;250;17760
basic mass;bubble sort;300;395330
basic mass;bubble(Ayverson1) sort;300;388620
basic mass;bubble(Ayverson2) sort;300;225380
basic mass;selection sort;300;149890
basic mass;insertion sort;300;69280
basic mass;binary insertion sort;300;64270
basic mass;counting sort;300;2730
basic mass;radix sort;300;5500
basic mass;quick sort;300;19070
basic mass;merge sort;300;110230
basic mass;heap sort;300;26430
